Array,Condition,Sample
GSM257776,Ferm_8h,1
GSM257777,Ferm_8h,1
GSM257778,Ferm_8h,1
GSM257779,Ferm_30h,2
GSM257780,Ferm_30h,2
GSM257781,Ferm_60h,3
GSM257782,Ferm_60h,3
GSM257783,Ferm_60h,3
GSM257784,Ferm_80h,4
GSM257785,Ferm_80h,4
GSM257786,Ferm_80h,4
GSM257787,Ferm_102h,5
GSM257788,Ferm_102h,5
GSM257789,Ferm_102h,5
GSM410831,Prop_0h,6
GSM410832,Prop_0h,6
GSM410833,Prop_0h,6
GSM410834,Prop_4h,7
GSM410835,Prop_4h,7
GSM410836,Prop_4h,7
GSM410837,Prop_8h,8
GSM410838,Prop_8h,8
GSM410839,Prop_8h,8
GSM410840,Prop_30h,9
GSM410841,Prop_30h,9
GSM410842,Prop_30h,9
